"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Team","Home_Away","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Young Boys","4-2-3-1",0,0.6,"","4","0","Aston Villa","4-2-3-1",3,2,"Youri Tielemans · 27&rsquor; Jacob Ramsey · 38&rsquor; Amadou Onana · 86&rsquor;","1","0","Young Boys","Home",990,0,0,0,0,12,5,4,0,483,17,14,10,0.6,0.6,0.4,21,0,313,391,80.1,25,294,16,10,7
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Young Boys","4-2-3-1",0,0.6,"","4","0","Aston Villa","4-2-3-1",3,2,"Youri Tielemans · 27&rsquor; Jacob Ramsey · 38&rsquor; Amadou Onana · 86&rsquor;","1","0","Aston Villa","Away",990,3,3,0,0,20,7,1,0,533,10,8,2,2,2,1.9,36,4,369,438,84.2,34,332,13,10,7
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Juventus","4-3-3",3,2.9,"Kenan Yıldız · 21&rsquor; Weston McKennie · 27&rsquor; Nicolás González · 52&rsquor;","0","0","PSV Eindhoven","4-3-3",1,1,"Ismael Saibari · 90+3&rsquor;","0","0","Juventus","Home",990,3,2,0,0,15,6,0,0,623,16,5,14,2.9,2.9,2.4,25,3,431,508,84.8,35,398,21,19,5
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Juventus","4-3-3",3,2.9,"Kenan Yıldız · 21&rsquor; Weston McKennie · 27&rsquor; Nicolás González · 52&rsquor;","0","0","PSV Eindhoven","4-3-3",1,1,"Ismael Saibari · 90+3&rsquor;","0","0","PSV Eindhoven","Away",990,1,1,0,0,13,5,0,0,723,18,10,8,1,1,1,26,2,555,647,85.8,57,410,19,11,5
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Sporting CP","3-4-3",2,1.6,"Viktor Gyökeres · 38&rsquor; Zeno Debast · 65&rsquor;","2","0","Lille","5-4-1",0,0.4,"Angel Gomes · 40&rsquor;","6","1","Sporting CP","Home",990,2,2,0,0,18,5,2,0,576,22,4,8,1.6,1.6,1.5,32,3,417,487,85.6,25,316,16,17,4
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Sporting CP","3-4-3",2,1.6,"Viktor Gyökeres · 38&rsquor; Zeno Debast · 65&rsquor;","2","0","Lille","5-4-1",0,0.4,"Angel Gomes · 40&rsquor;","6","1","Lille","Away",939,0,0,0,0,3,2,5,1,580,18,5,11,0.4,0.4,0,5,0,410,493,83.2,35,266,12,20,9
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Real Madrid","4-3-3",3,2.6,"Kylian Mbappé · 46&rsquor; Antonio Rüdiger · 83&rsquor; Endrick · 90+5&rsquor;","4","0","Stuttgart","4-2-3-1",1,1.9,"Deniz Undav · 68&rsquor;","1","0","Real Madrid","Home",990,3,3,0,0,20,8,4,0,567,12,13,11,2.6,2.6,2.5,37,4,395,469,84.2,47,369,27,24,12
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Real Madrid","4-3-3",3,2.6,"Kylian Mbappé · 46&rsquor; Antonio Rüdiger · 83&rsquor; Endrick · 90+5&rsquor;","4","0","Stuttgart","4-2-3-1",1,1.9,"Deniz Undav · 68&rsquor;","1","0","Stuttgart","Away",990,1,1,0,0,17,7,1,0,674,19,5,15,1.9,1.9,1.9,28,2,481,561,85.7,39,449,20,10,3
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Milan","4-2-3-1",1,0.6,"Christian Pulisic · 3&rsquor;","2","0","Liverpool","4-2-3-1",3,3.1,"Ibrahima Konaté · 23&rsquor; Virgil van Dijk · 41&rsquor; Dominik Szoboszlai · 67&rsquor;","2","0","Milan","Home",990,1,1,0,0,8,2,2,0,579,16,8,11,0.6,0.6,0.5,15,2,397,484,82,32,325,19,23,11
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Milan","4-2-3-1",1,0.6,"Christian Pulisic · 3&rsquor;","2","0","Liverpool","4-2-3-1",3,3.1,"Ibrahima Konaté · 23&rsquor; Virgil van Dijk · 41&rsquor; Dominik Szoboszlai · 67&rsquor;","2","0","Liverpool","Away",990,3,3,0,0,23,11,2,0,600,14,10,13,3.1,3.1,2.5,39,6,418,496,84.3,49,330,16,21,10
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Bayern Munich","4-2-3-1",9,5.9,"Harry Kane (P) · 19&rsquor; Raphaël Guerreiro · 33&rsquor; Michael Olise · 38&rsquor; Harry Kane · 57&rsquor; Michael Olise · 61&rsquor; Harry Kane (P) · 73&rsquor; Harry Kane (P) · 78&rsquor; Leroy Sané · 85&rsquor; Leon Goretzka · 90+2&rsquor;","0","0","Dinamo Zagreb","5-3-2",2,0.7,"Bruno Petković · 48&rsquor; Takuya Ogiwara · 50&rsquor;","1","0","Bayern Munich","Home",990,9,5,3,3,26,16,0,0,908,10,10,7,6,4,3.1,54,16,726,808,89.9,78,617,38,23,11
"UEFA Champions League","2024-09-17","UEFA Champions League (League phase)","Bayern Munich","4-2-3-1",9,5.9,"Harry Kane (P) · 19&rsquor; Raphaël Guerreiro · 33&rsquor; Michael Olise · 38&rsquor; Harry Kane · 57&rsquor; Michael Olise · 61&rsquor; Harry Kane (P) · 73&rsquor; Harry Kane (P) · 78&rsquor; Leroy Sané · 85&rsquor; Leon Goretzka · 90+2&rsquor;","0","0","Dinamo Zagreb","5-3-2",2,0.7,"Bruno Petković · 48&rsquor; Takuya Ogiwara · 50&rsquor;","1","0","Dinamo Zagreb","Away",990,2,2,0,0,4,3,1,0,456,17,13,19,0.7,0.7,0.7,8,4,273,349,78.2,14,255,13,9,7
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Sparta Prague","3-4-3",3,2.5,"Kaan Kairinen · 2&rsquor; Victor Olatunji · 42&rsquor; Qazim Laçi · 58&rsquor;","1","0","Red Bull Salzburg","4-3-3",0,0.6,"","2","0","Sparta Prague","Home",990,3,2,0,0,11,6,1,0,396,18,10,14,2.6,2.6,1.6,16,4,188,287,65.5,23,220,10,28,10
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Sparta Prague","3-4-3",3,2.5,"Kaan Kairinen · 2&rsquor; Victor Olatunji · 42&rsquor; Qazim Laçi · 58&rsquor;","1","0","Red Bull Salzburg","4-3-3",0,0.6,"","2","0","Red Bull Salzburg","Away",990,0,0,0,0,11,1,2,0,786,24,4,11,0.6,0.6,0.3,18,0,577,667,86.5,49,594,25,26,15
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Bologna","4-3-3",0,1.2,"","2","0","Shakhtar Donetsk","4-2-3-1",0,0.9,"","4","0","Bologna","Home",990,0,0,0,0,17,4,2,0,593,18,4,9,1.2,1.2,1,28,0,419,500,83.8,55,384,21,19,6
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Bologna","4-3-3",0,1.2,"","2","0","Shakhtar Donetsk","4-2-3-1",0,0.9,"","4","0","Shakhtar Donetsk","Away",990,0,0,0,1,3,0,4,0,632,15,9,15,0.9,0.1,0.1,6,0,458,548,83.6,22,345,9,18,7
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Celtic","4-3-3",5,3.8,"Liam Scales · 17&rsquor; Kyogo Furuhashi · 47&rsquor; Arne Engels (P) · 56&rsquor; Daizen Maeda · 70&rsquor; Adam Idah · 86&rsquor;","2","0","Slovan Bratislava","4-2-3-1",1,0.5,"Kevin Wimmer · 60&rsquor;","3","0","Celtic","Home",990,5,4,1,1,15,10,2,0,726,31,8,11,3.8,3,2.9,30,10,532,623,85.4,57,434,20,8,2
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Celtic","4-3-3",5,3.8,"Liam Scales · 17&rsquor; Kyogo Furuhashi · 47&rsquor; Arne Engels (P) · 56&rsquor; Daizen Maeda · 70&rsquor; Adam Idah · 86&rsquor;","2","0","Slovan Bratislava","4-2-3-1",1,0.5,"Kevin Wimmer · 60&rsquor;","3","0","Slovan Bratislava","Away",990,1,1,0,0,8,2,3,0,519,11,14,12,0.5,0.5,0.5,14,2,323,404,80,26,311,9,27,7
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Manchester City","3-2-4-1",0,2.3,"","1","0","Internazionale","3-5-2",0,0.7,"","0","0","Manchester City","Home",990,0,0,0,0,22,5,1,0,769,8,5,9,2.3,2.3,1.9,39,0,622,688,90.4,62,570,31,9,2
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Manchester City","3-2-4-1",0,2.3,"","1","0","Internazionale","3-5-2",0,0.7,"","0","0","Internazionale","Away",990,0,0,0,0,13,3,0,0,557,11,9,18,0.7,0.7,0.5,21,0,387,460,84.1,21,351,13,9,2
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Club Brugge","4-1-4-1",0,1.2,"","1","0","Dortmund","4-2-3-1",3,1.9,"Jamie Gittens · 76&rsquor; Jamie Gittens · 86&rsquor; Serhou Guirassy (P) · 90+5&rsquor;","1","0","Club Brugge","Home",990,0,0,0,0,18,5,1,0,542,12,7,7,1.3,1.3,0.6,31,0,375,442,84.8,37,197,18,16,5
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Club Brugge","4-1-4-1",0,1.2,"","1","0","Dortmund","4-2-3-1",3,1.9,"Jamie Gittens · 76&rsquor; Jamie Gittens · 86&rsquor; Serhou Guirassy (P) · 90+5&rsquor;","1","0","Dortmund","Away",990,3,2,1,1,16,5,1,0,855,15,8,11,1.9,1.1,1,32,6,695,759,91.6,51,609,24,19,10
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Paris Saint-Germain","4-3-3",1,2.1,"Paulo Gazzaniga (OG) · 90&rsquor;","1","0","Girona","4-2-3-1",0,0.2,"","3","0","Paris Saint-Germain","Home",990,0,0,0,0,26,5,1,0,796,15,6,9,2.1,2.1,1.6,49,0,614,682,90,57,494,38,29,12
"UEFA Champions League","2024-09-18","UEFA Champions League (League phase)","Paris Saint-Germain","4-3-3",1,2.1,"Paulo Gazzaniga (OG) · 90&rsquor;","1","0","Girona","4-2-3-1",0,0.2,"","3","0","Girona","Away",990,0,0,0,0,3,1,3,0,512,36,6,24,0.2,0.2,0.2,6,0,307,390,78.7,16,242,9,6,3
