H_Team,A_Team,Home_Score,Away_Score,Score,Matchweek,date,competition,season,H_Team_MQS,A_Team_MQS,MQS
Dynamo Kyiv,Juventus,0,2,0 - 2,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,34.22615120728328,59.18326956062805,46.704710383955664
Zenit,Club Brugge,1,2,1 - 2,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,54.756564190526454,64.27628974798786,59.516426969257154
Chelsea,Sevilla,0,0,0 - 0,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,41.67436337247658,30.478955007256896,36.07665918986674
RB Leipzig,İstanbul Başakşehir,2,0,2 - 0,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,54.43989972291859,45.01913181158464,49.72951576725161
Barcelona,Ferencváros,5,1,5 - 1,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,78.96820160971104,37.56432246998285,58.26626203984695
Lazio,Dortmund,3,1,3 - 1,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,53.86594537537934,57.14474205040243,55.505343712890884
Paris Saint-Germain,Manchester United,1,2,1 - 2,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,61.90790341733738,59.156880854994064,60.532392136165726
Rennes,Krasnodar,1,1,1 - 1,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,64.83045256630163,37.69626599815279,51.26335928222721
Red Bull Salzburg,Lokomotiv Moscow,2,2,2 - 2,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,76.54703786779258,55.23815806834675,65.89259796806967
Real Madrid,Shakhtar Donetsk,2,3,2 - 3,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,63.87386198706953,58.358622509565905,61.11624224831772
Manchester City,Porto,3,1,3 - 1,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,47.55904472885605,24.30399788890355,35.9315213088798
Internazionale,Mönchengladbach,2,2,2 - 2,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,73.95434753925319,54.9017020715134,64.4280248053833
Bayern Munich,Atlético Madrid,4,0,4 - 0,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,70.31930333817127,42.16255442670537,56.24092888243832
Ajax,Liverpool,0,1,0 - 1,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,59.123894972951575,61.221797070853675,60.17284602190263
Midtjylland,Atalanta,0,4,0 - 4,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,48.32431719224172,68.51827417865154,58.42129568544663
Olympiacos,Marseille,1,0,1 - 0,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,45.777807098561816,47.47328143554559,46.6255442670537
Shakhtar Donetsk,Internazionale,0,0,0 - 0,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,30.14249901042354,56.70932840744162,43.425913708932576
Porto,Olympiacos,2,0,2 - 0,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,58.985354268373136,41.746932312970046,50.36614329067159
Liverpool,Midtjylland,2,0,2 - 0,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,51.946167040506666,37.08932576857105,44.517746404538855
Lokomotiv Moscow,Bayern Munich,1,2,1 - 2,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,54.49927431059507,70.22034569204381,62.35981000131944
Atlético Madrid,Red Bull Salzburg,3,2,3 - 2,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,80.9077714738092,51.45797598627787,66.18287373004354
Atalanta,Ajax,2,2,2 - 2,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,78.01820820688745,65.28565773848793,71.65193297268769
Marseille,Manchester City,0,3,0 - 3,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,26.434885868848134,49.287504947882304,37.86119540836522
Mönchengladbach,Real Madrid,2,2,2 - 2,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,59.27563003034701,75.39253199630558,67.3340810133263
Manchester United,RB Leipzig,5,0,5 - 0,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,66.87557725293574,37.438976118221404,52.15727668557857
Krasnodar,Chelsea,0,4,0 - 4,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,46.345164269692575,54.189207019395695,50.267185644544135
İstanbul Başakşehir,Paris Saint-Germain,0,2,0 - 2,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,60.687425781765405,74.1654571843251,67.42644148304525
Juventus,Barcelona,0,2,0 - 2,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,48.79931389365352,64.58635703918723,56.69283546642038
Club Brugge,Lazio,1,1,1 - 1,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,58.35202533315741,43.640321942208736,50.99617363768307
Ferencváros,Dynamo Kyiv,2,2,2 - 2,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,46.477107797862516,33.86330650481594,40.17020715133923
Dortmund,Zenit,2,0,2 - 0,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,59.94194484760522,31.93033381712627,45.93613933236575
Sevilla,Rennes,1,0,1 - 0,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,68.26758147512864,21.599155561419714,44.93336851827418
Shakhtar Donetsk,Mönchengladbach,0,6,0 - 6,UEFA Champions League (Group stage),2020-11-03,UEFA Champions League,2020-2021,31.67304393719488,60.23881778598759,45.955930861591234
Porto,Marseille,3,0,3 - 0,UEFA Champions League (Group stage),2020-11-03,UEFA Champions League,2020-2021,49.14236706689537,31.60707217310991,40.37471962000264
Manchester City,Olympiacos,3,0,3 - 0,UEFA Champions League (Group stage),2020-11-03,UEFA Champions League,2020-2021,64.90961868320359,37.01675682807758,50.96318775564059
Lokomotiv Moscow,Atlético Madrid,1,1,1 - 1,UEFA Champions League (Group stage),2020-11-03,UEFA Champions League,2020-2021,20.58319039451115,56.960021110964504,38.77160575273783
Midtjylland,Ajax,1,2,1 - 2,UEFA Champions League (Group stage),2020-11-03,UEFA Champions League,2020-2021,49.5316004749967,47.644808022166515,48.588204248581604
Red Bull Salzburg,Bayern Munich,2,6,2 - 6,UEFA Champions League (Group stage),2020-11-03,UEFA Champions League,2020-2021,69.9960416941549,83.53344768439108,76.76474468927299
Atalanta,Liverpool,0,5,0 - 5,UEFA Champions League (Group stage),2020-11-03,UEFA Champions League,2020-2021,49.47222588732023,69.38910146457316,59.43066367594669
Real Madrid,Internazionale,3,2,3 - 2,UEFA Champions League (Group stage),2020-11-03,UEFA Champions League,2020-2021,59.13708932576857,44.22087346615648,51.67898139596252
Chelsea,Rennes,3,0,3 - 0,UEFA Champions League (Group stage),2020-11-04,UEFA Champions League,2020-2021,54.76316136693495,27.365087742446235,41.06412455469059
İstanbul Başakşehir,Manchester United,2,1,2 - 1,UEFA Champions League (Group stage),2020-11-04,UEFA Champions League,2020-2021,45.25663016229054,49.590975062673174,47.42380261248186
Zenit,Lazio,1,1,1 - 1,UEFA Champions League (Group stage),2020-11-04,UEFA Champions League,2020-2021,47.14342261512073,51.53054492677134,49.336983770946034
Ferencváros,Juventus,1,4,1 - 4,UEFA Champions League (Group stage),2020-11-04,UEFA Champions League,2020-2021,40.843119145005936,62.61380129304658,51.72846021902626
Club Brugge,Dortmund,0,3,0 - 3,UEFA Champions League (Group stage),2020-11-04,UEFA Champions League,2020-2021,49.650349650349646,61.591238949729515,55.62079430003958
Barcelona,Dynamo Kyiv,2,1,2 - 1,UEFA Champions League (Group stage),2020-11-04,UEFA Champions League,2020-2021,71.6387386198707,63.359282227206755,67.49901042353872
Sevilla,Krasnodar,3,2,3 - 2,UEFA Champions League (Group stage),2020-11-04,UEFA Champions League,2020-2021,69.784932049083,47.136825438712236,58.46087874389762
RB Leipzig,Paris Saint-Germain,2,1,2 - 1,UEFA Champions League (Group stage),2020-11-04,UEFA Champions League,2020-2021,59.20306108985354,43.75907111756168,51.48106610370761
Rennes,Chelsea,1,2,1 - 2,UEFA Champions League (Group stage),2020-11-24,UEFA Champions League,2020-2021,50.38923340810133,62.25095659057923,56.320094999340284
Manchester United,İstanbul Başakşehir,4,1,4 - 1,UEFA Champions League (Group stage),2020-11-24,UEFA Champions League,2020-2021,68.43910806174956,53.92531996305581,61.18221401240269
Krasnodar,Sevilla,1,2,1 - 2,UEFA Champions League (Group stage),2020-11-24,UEFA Champions League,2020-2021,60.548885077186966,65.43079561947486,62.989840348330915
Dortmund,Club Brugge,3,0,3 - 0,UEFA Champions League (Group stage),2020-11-24,UEFA Champions League,2020-2021,69.03945111492281,32.200818049874655,50.620134582398734
Juventus,Ferencváros,2,1,2 - 1,UEFA Champions League (Group stage),2020-11-24,UEFA Champions League,2020-2021,71.1505475656419,36.21190130624093,53.68122443594142
Paris Saint-Germain,RB Leipzig,1,0,1 - 0,UEFA Champions League (Group stage),2020-11-24,UEFA Champions League,2020-2021,44.63649557989181,64.85024409552712,54.743369837709466
Lazio,Zenit,3,1,3 - 1,UEFA Champions League (Group stage),2020-11-24,UEFA Champions League,2020-2021,66.82939701807626,54.38052513524212,60.604961076659194
Dynamo Kyiv,Barcelona,0,4,0 - 4,UEFA Champions League (Group stage),2020-11-24,UEFA Champions League,2020-2021,46.83335532392136,74.32378941812904,60.5785723710252
Mönchengladbach,Shakhtar Donetsk,4,0,4 - 0,UEFA Champions League (Group stage),2020-11-25,UEFA Champions League,2020-2021,72.40401108325636,50.34305317324185,61.37353212824911
Olympiacos,Manchester City,0,1,0 - 1,UEFA Champions League (Group stage),2020-11-25,UEFA Champions League,2020-2021,28.717508906188154,77.85327879667503,53.28539385143159
Liverpool,Atalanta,0,2,0 - 2,UEFA Champions League (Group stage),2020-11-25,UEFA Champions League,2020-2021,36.970576593218105,59.95513920042222,48.46285789682016
Ajax,Midtjylland,3,1,3 - 1,UEFA Champions League (Group stage),2020-11-25,UEFA Champions League,2020-2021,75.09565905792321,37.26744953160048,56.181554294761845
Internazionale,Real Madrid,0,2,0 - 2,UEFA Champions League (Group stage),2020-11-25,UEFA Champions League,2020-2021,30.445969125214408,59.895764612745744,45.17086686898008
Marseille,Porto,0,2,0 - 2,UEFA Champions League (Group stage),2020-11-25,UEFA Champions League,2020-2021,48.23195672252276,47.43369837709461,47.832827549808684
Atlético Madrid,Lokomotiv Moscow,0,0,0 - 0,UEFA Champions League (Group stage),2020-11-25,UEFA Champions League,2020-2021,65.20649162158597,36.17891542419844,50.6927035228922
Bayern Munich,Red Bull Salzburg,3,1,3 - 1,UEFA Champions League (Group stage),2020-11-25,UEFA Champions League,2020-2021,51.86700092360469,71.60575273782821,61.73637683071645
Shakhtar Donetsk,Real Madrid,2,0,2 - 0,UEFA Champions League (Group stage),2020-12-01,UEFA Champions League,2020-2021,52.03193033381713,60.56867660641246,56.3003034701148
Liverpool,Ajax,1,0,1 - 0,UEFA Champions League (Group stage),2020-12-01,UEFA Champions League,2020-2021,57.92980604301359,57.33606016624884,57.63293310463122
Porto,Manchester City,0,0,0 - 0,UEFA Champions League (Group stage),2020-12-01,UEFA Champions League,2020-2021,27.95223644280248,64.35545586488983,46.15384615384616
Lokomotiv Moscow,Red Bull Salzburg,1,3,1 - 3,UEFA Champions League (Group stage),2020-12-01,UEFA Champions League,2020-2021,46.806966618287376,73.4727536614329,60.13986013986014
Mönchengladbach,Internazionale,2,3,2 - 3,UEFA Champions League (Group stage),2020-12-01,UEFA Champions League,2020-2021,58.714870035624756,51.89998680564718,55.30742842063597
Marseille,Olympiacos,2,1,2 - 1,UEFA Champions League (Group stage),2020-12-01,UEFA Champions League,2020-2021,42.644148304525665,22.99775696002111,32.82095263227339
Atalanta,Midtjylland,1,1,1 - 1,UEFA Champions League (Group stage),2020-12-01,UEFA Champions League,2020-2021,71.90922285261908,48.12640189998681,60.01781237630294
Atlético Madrid,Bayern Munich,1,1,1 - 1,UEFA Champions League (Group stage),2020-12-01,UEFA Champions League,2020-2021,54.756564190526454,42.65074548093416,48.703654835730305
Manchester United,Paris Saint-Germain,1,3,1 - 3,UEFA Champions League (Group stage),2020-12-02,UEFA Champions League,2020-2021,53.562475260588464,67.04710383955667,60.30478955007257
Krasnodar,Rennes,1,0,1 - 0,UEFA Champions League (Group stage),2020-12-02,UEFA Champions League,2020-2021,51.385407045784405,46.89272991159783,49.139068478691115
İstanbul Başakşehir,RB Leipzig,3,4,3 - 4,UEFA Champions League (Group stage),2020-12-02,UEFA Champions League,2020-2021,40.56603773584906,78.32827549808682,59.447156616967945
Juventus,Dynamo Kyiv,3,0,3 - 0,UEFA Champions League (Group stage),2020-12-02,UEFA Champions League,2020-2021,78.88243831640058,38.144873993930595,58.51365615516559
Dortmund,Lazio,1,1,1 - 1,UEFA Champions League (Group stage),2020-12-02,UEFA Champions League,2020-2021,56.946826758147516,55.53503100672912,56.24092888243832
Club Brugge,Zenit,3,0,3 - 0,UEFA Champions League (Group stage),2020-12-02,UEFA Champions League,2020-2021,60.11347143422615,31.132075471698112,45.62277345296213
Ferencváros,Barcelona,0,3,0 - 3,UEFA Champions League (Group stage),2020-12-02,UEFA Champions League,2020-2021,41.410476316136695,76.21058187095923,58.81052909354796
Sevilla,Chelsea,0,4,0 - 4,UEFA Champions League (Group stage),2020-12-02,UEFA Champions League,2020-2021,38.32299775696002,69.3099353476712,53.81646655231561
Lazio,Club Brugge,2,2,2 - 2,UEFA Champions League (Group stage),2020-12-08,UEFA Champions League,2020-2021,61.782557065575936,43.66671064784273,52.72463385670933
Chelsea,Krasnodar,1,1,1 - 1,UEFA Champions League (Group stage),2020-12-08,UEFA Champions League,2020-2021,62.73914764480802,31.547697585433436,47.14342261512073
Zenit,Dortmund,1,2,1 - 2,UEFA Champions League (Group stage),2020-12-08,UEFA Champions League,2020-2021,58.64889827153978,65.60232220609579,62.125610238817785
RB Leipzig,Manchester United,3,2,3 - 2,UEFA Champions League (Group stage),2020-12-08,UEFA Champions League,2020-2021,53.43712890882702,61.43290671592558,57.4350178123763
Barcelona,Juventus,0,3,0 - 3,UEFA Champions League (Group stage),2020-12-08,UEFA Champions League,2020-2021,68.87452170471039,52.96872938382372,60.92162554426706
Rennes,Sevilla,1,3,1 - 3,UEFA Champions League (Group stage),2020-12-08,UEFA Champions League,2020-2021,65.94537537933765,45.66565509961736,55.8055152394775
Dynamo Kyiv,Ferencváros,1,0,1 - 0,UEFA Champions League (Group stage),2020-12-08,UEFA Champions League,2020-2021,33.97545850376039,34.008444385802875,33.991951444781634
Paris Saint-Germain,İstanbul Başakşehir,5,1,5 - 1,UEFA Champions League (Group stage),2020-12-09,UEFA Champions League,2020-2021,72.86581343185117,46.06148568412719,59.46364955798918
Midtjylland,Liverpool,1,1,1 - 1,UEFA Champions League (Group stage),2020-12-09,UEFA Champions League,2020-2021,61.98047235783085,29.377226547037868,45.678849452434356
Ajax,Atalanta,0,1,0 - 1,UEFA Champions League (Group stage),2020-12-09,UEFA Champions League,2020-2021,49.41285129964375,50.12534635176144,49.7690988257026
Manchester City,Marseille,3,0,3 - 0,UEFA Champions League (Group stage),2020-12-09,UEFA Champions League,2020-2021,63.60337775432115,32.99247921889432,48.29792848660773
Internazionale,Shakhtar Donetsk,0,0,0 - 0,UEFA Champions League (Group stage),2020-12-09,UEFA Champions League,2020-2021,54.387122311650614,32.37894181290408,43.38303206227735
Real Madrid,Mönchengladbach,2,0,2 - 0,UEFA Champions League (Group stage),2020-12-09,UEFA Champions League,2020-2021,67.02071513392268,39.95250032985882,53.48660773189075
Bayern Munich,Lokomotiv Moscow,2,0,2 - 0,UEFA Champions League (Group stage),2020-12-09,UEFA Champions League,2020-2021,76.44808022166512,36.172318247789946,56.310199234727534
Red Bull Salzburg,Atlético Madrid,0,2,0 - 2,UEFA Champions League (Group stage),2020-12-09,UEFA Champions League,2020-2021,59.20306108985354,47.413906847869114,53.308483968861324
Olympiacos,Porto,0,2,0 - 2,UEFA Champions League (Group stage),2020-12-09,UEFA Champions League,2020-2021,34.912257553766985,36.32405330518538,35.61815542947618
Barcelona,Paris Saint-Germain,1,4,1 - 4,"UEFA Champions League (Round of 16), Leg 1 of 2Aggregate: Barcelona 2:5 Paris S-GParis S-G won on aggregate score over two legs(Leg 2: Paris S-G 1:1 Barcelona)",2021-02-16,UEFA Champions League,2020-2021,52.59928750494788,78.44042749703127,65.51985750098957
RB Leipzig,Liverpool,0,2,0 - 2,"UEFA Champions League (Round of 16), Leg 1 of 2Aggregate: RB Leipzig 0:4 LiverpoolLiverpool won on aggregate score over two legs(Leg 2: Liverpool 2:0 RB Leipzig)",2021-02-16,UEFA Champions League,2020-2021,46.14065180102916,55.178783480670276,50.65971764084972
Porto,Juventus,2,1,2 - 1,"UEFA Champions League (Round of 16), Leg 1 of 2Aggregate: Porto 4:4 JuventusPorto won on away goals, after aggregate score was tied(Leg 2: Juventus 3:2 Porto)",2021-02-17,UEFA Champions League,2020-2021,43.30386594537538,53.66143290671592,48.482649426045654
Sevilla,Dortmund,2,3,2 - 3,"UEFA Champions League (Round of 16), Leg 1 of 2Aggregate: Sevilla 4:5 DortmundDortmund won on aggregate score over two legs(Leg 2: Dortmund 2:2 Sevilla)",2021-02-17,UEFA Champions League,2020-2021,56.16176276553635,56.64335664335664,56.402559704446496
Lazio,Bayern Munich,1,4,1 - 4,"UEFA Champions League (Round of 16), Leg 1 of 2Aggregate: Lazio 2:6 Bayern MunichBayern Munich won on aggregate score over two legs(Leg 2: Bayern Munich 2:1 Lazio)",2021-02-23,UEFA Champions League,2020-2021,60.01451378809869,75.5640585829265,67.7892861855126
Atlético Madrid,Chelsea,0,1,0 - 1,"UEFA Champions League (Round of 16), Leg 1 of 2Aggregate: Atlético Madrid 0:3 ChelseaChelsea won on aggregate score over two legs(Leg 2: Chelsea 2:0 Atlético Madrid)",2021-02-23,UEFA Champions League,2020-2021,33.34872674495316,58.77424462330123,46.06148568412719
Atalanta,Real Madrid,0,1,0 - 1,"UEFA Champions League (Round of 16), Leg 1 of 2Aggregate: Atalanta 1:4 Real MadridReal Madrid won on aggregate score over two legs(Leg 2: Real Madrid 3:1 Atalanta)",2021-02-24,UEFA Champions League,2020-2021,33.42129568544662,73.62448871882835,53.522892202137484
Mönchengladbach,Manchester City,0,2,0 - 2,"UEFA Champions League (Round of 16), Leg 1 of 2Aggregate: Gladbach 0:4 Manchester CityManchester City won on aggregate score over two legs(Leg 2: Manchester City 2:0 Gladbach)",2021-02-24,UEFA Champions League,2020-2021,26.68557857237103,59.651669085631355,43.16862382900119
Juventus,Porto,3,2,3 - 2,"UEFA Champions League (Round of 16), Leg 2 of 2Aggregate: Juventus 4:4 PortoPorto won on away goals, after aggregate score was tied(Leg 1: Porto 2:1 Juventus)",2021-03-09,UEFA Champions League,2020-2021,80.4459691252144,65.31204644412192,72.87900778466816
Dortmund,Sevilla,2,2,2 - 2,"UEFA Champions League (Round of 16), Leg 2 of 2Aggregate: Dortmund 5:4 SevillaDortmund won on aggregate score over two legs(Leg 1: Sevilla 2:3 Dortmund)",2021-03-09,UEFA Champions League,2020-2021,55.64058582926507,59.40097638210846,57.520781105686765
Liverpool,RB Leipzig,2,0,2 - 0,"UEFA Champions League (Round of 16), Leg 2 of 2Aggregate: Liverpool 4:0 RB LeipzigLiverpool won on aggregate score over two legs(Leg 1: RB Leipzig 0:2 Liverpool)",2021-03-10,UEFA Champions League,2020-2021,70.62277345296214,44.49795487531337,57.56036416413775
Paris Saint-Germain,Barcelona,1,1,1 - 1,"UEFA Champions League (Round of 16), Leg 2 of 2Aggregate: Paris S-G 5:2 BarcelonaParis S-G won on aggregate score over two legs(Leg 1: Barcelona 1:4 Paris S-G)",2021-03-10,UEFA Champions League,2020-2021,52.06491621585961,70.79430003958306,61.42960812772134
Manchester City,Mönchengladbach,2,0,2 - 0,"UEFA Champions League (Round of 16), Leg 2 of 2Aggregate: Manchester City 4:0 GladbachManchester City won on aggregate score over two legs(Leg 1: Gladbach 0:2 Manchester City)",2021-03-16,UEFA Champions League,2020-2021,58.127721335268504,28.037999736112944,43.08286053569073
Real Madrid,Atalanta,3,1,3 - 1,"UEFA Champions League (Round of 16), Leg 2 of 2Aggregate: Real Madrid 4:1 AtalantaReal Madrid won on aggregate score over two legs(Leg 1: Atalanta 0:1 Real Madrid)",2021-03-16,UEFA Champions League,2020-2021,74.14566565509962,62.13220741522628,68.138936535162955
Chelsea,Atlético Madrid,2,0,2 - 0,"UEFA Champions League (Round of 16), Leg 2 of 2Aggregate: Chelsea 3:0 Atlético MadridChelsea won on aggregate score over two legs(Leg 1: Atlético Madrid 0:1 Chelsea)",2021-03-17,UEFA Champions League,2020-2021,72.74706425649822,44.57052381580684,58.65879403615253
Bayern Munich,Lazio,2,1,2 - 1,"UEFA Champions League (Round of 16), Leg 2 of 2Aggregate: Bayern Munich 6:2 LazioBayern Munich won on aggregate score over two legs(Leg 1: Lazio 1:4 Bayern Munich)",2021-03-17,UEFA Champions League,2020-2021,59.724238026124816,47.60522496371553,53.664731494920176
Manchester City,Dortmund,2,1,2 - 1,"UEFA Champions League (Quarter-finals), Leg 1 of 2Aggregate: Manchester City 4:2 DortmundManchester City won on aggregate score over two legs(Leg 2: Dortmund 1:2 Manchester City)",2021-04-06,UEFA Champions League,2020-2021,67.13946430927564,38.171262699564586,52.65536350442011
Real Madrid,Liverpool,3,1,3 - 1,"UEFA Champions League (Quarter-finals), Leg 1 of 2Aggregate: Real Madrid 3:1 LiverpoolReal Madrid won on aggregate score over two legs(Leg 2: Liverpool 0:0 Real Madrid)",2021-04-06,UEFA Champions League,2020-2021,68.07626335928222,43.56115582530677,55.818709592294496
Porto,Chelsea,0,2,0 - 2,"UEFA Champions League (Quarter-finals), Leg 1 of 2Aggregate: Porto 1:2 ChelseaChelsea won on aggregate score over two legs(Leg 2: Chelsea 0:1 Porto)",2021-04-07,UEFA Champions League,2020-2021,46.16044333025465,42.53199630558122,44.346219817917934
Bayern Munich,Paris Saint-Germain,2,3,2 - 3,"UEFA Champions League (Quarter-finals), Leg 1 of 2Aggregate: Bayern Munich 3:3 Paris S-GParis S-G won on away goals, after aggregate score was tied(Leg 2: Paris S-G 0:1 Bayern Munich)",2021-04-07,UEFA Champions League,2020-2021,88.39556669745349,44.38580287636891,66.39068478691121
Chelsea,Porto,0,1,0 - 1,"UEFA Champions League (Quarter-finals), Leg 2 of 2Aggregate: Chelsea 2:1 PortoChelsea won on aggregate score over two legs(Leg 1: Porto 0:2 Chelsea)",2021-04-13,UEFA Champions League,2020-2021,47.53925319963056,41.067423142894846,44.3033381712627
Paris Saint-Germain,Bayern Munich,0,1,0 - 1,"UEFA Champions League (Quarter-finals), Leg 2 of 2Aggregate: Paris S-G 3:3 Bayern MunichParis S-G won on away goals, after aggregate score was tied(Leg 1: Bayern Munich 2:3 Paris S-G)",2021-04-13,UEFA Champions League,2020-2021,53.77358490566038,66.9877292518802,60.380657078770284
Liverpool,Real Madrid,0,0,0 - 0,"UEFA Champions League (Quarter-finals), Leg 2 of 2Aggregate: Liverpool 1:3 Real MadridReal Madrid won on aggregate score over two legs(Leg 1: Real Madrid 3:1 Liverpool)",2021-04-14,UEFA Champions League,2020-2021,66.07072173109908,45.184061221797066,55.627391476448075
Dortmund,Manchester City,1,2,1 - 2,"UEFA Champions League (Quarter-finals), Leg 2 of 2Aggregate: Dortmund 2:4 Manchester CityManchester City won on aggregate score over two legs(Leg 1: Manchester City 2:1 Dortmund)",2021-04-14,UEFA Champions League,2020-2021,32.504288164665525,69.62659981527906,51.065443989972295
Real Madrid,Chelsea,1,1,1 - 1,"UEFA Champions League (Semi-finals), Leg 1 of 2Aggregate: Real Madrid 1:3 ChelseaChelsea won on aggregate score over two legs(Leg 2: Chelsea 2:0 Real Madrid)",2021-04-27,UEFA Champions League,2020-2021,40.011874917535295,67.63425253991292,53.82306372872411
Paris Saint-Germain,Manchester City,1,2,1 - 2,"UEFA Champions League (Semi-finals), Leg 1 of 2Aggregate: Paris S-G 1:4 Manchester CityManchester City won on aggregate score over two legs(Leg 2: Manchester City 2:0 Paris S-G)",2021-04-28,UEFA Champions League,2020-2021,45.01913181158464,63.18115846417733,54.100145137880986
Manchester City,Paris Saint-Germain,2,0,2 - 0,"UEFA Champions League (Semi-finals), Leg 2 of 2Aggregate: Manchester City 4:1 Paris S-GManchester City won on aggregate score over two legs(Leg 1: Paris S-G 1:2 Manchester City)",2021-05-04,UEFA Champions League,2020-2021,70.39187227866474,47.110436733078245,58.75115450587149
Chelsea,Real Madrid,2,0,2 - 0,"UEFA Champions League (Semi-finals), Leg 2 of 2Aggregate: Chelsea 3:1 Real MadridChelsea won on aggregate score over two legs(Leg 1: Real Madrid 1:1 Chelsea)",2021-05-05,UEFA Champions League,2020-2021,69.40229581739015,34.938646259400976,52.17047103839556
Manchester City,Chelsea,0,1,0 - 1,UEFA Champions League (Final),2021-05-29,UEFA Champions League,2020-2021,36.07336060166249,49.60416941549017,42.83876500857633
Young Boys,Manchester United,2,1,2 - 1,UEFA Champions League (Group stage),2021-09-14,UEFA Champions League,2021-2022,62.561023881778596,28.037999736112944,45.299511808945766
Sevilla,Red Bull Salzburg,1,1,1 - 1,UEFA Champions League (Group stage),2021-09-14,UEFA Champions League,2021-2022,39.108061749571185,52.86317456128777,45.98561815542948
Chelsea,Zenit,1,0,1 - 0,UEFA Champions League (Group stage),2021-09-14,UEFA Champions League,2021-2022,49.7690988257026,37.59730835202533,43.68320358886396
Villarreal,Atalanta,2,2,2 - 2,UEFA Champions League (Group stage),2021-09-14,UEFA Champions League,2021-2022,49.28090777147381,70.08180498746536,59.681356379469584
Lille,Wolfsburg,0,0,0 - 0,UEFA Champions League (Group stage),2021-09-14,UEFA Champions League,2021-2022,56.14197123631086,30.261248185776488,43.20160971104367
Barcelona,Bayern Munich,0,3,0 - 3,UEFA Champions League (Group stage),2021-09-14,UEFA Champions League,2021-2022,32.14804063860668,74.73941153186436,53.443726085235525
Malmö,Juventus,0,3,0 - 3,UEFA Champions League (Group stage),2021-09-14,UEFA Champions League,2021-2022,27.675155033645602,72.04776355719751,49.861459295421554
Dynamo Kyiv,Benfica,0,0,0 - 0,UEFA Champions League (Group stage),2021-09-14,UEFA Champions League,2021-2022,36.58794036152527,51.66908563134978,44.12851299643752
Beşiktaş,Dortmund,1,2,1 - 2,UEFA Champions League (Group stage),2021-09-15,UEFA Champions League,2021-2022,69.26375511281171,77.99841667766196,73.63108589523684
Sheriff Tiraspol,Shakhtar Donetsk,2,0,2 - 0,UEFA Champions League (Group stage),2021-09-15,UEFA Champions League,2021-2022,54.77635571975195,51.847209394379206,53.31178255706558
Liverpool,Milan,3,2,3 - 2,UEFA Champions League (Group stage),2021-09-15,UEFA Champions League,2021-2022,77.93244491357699,57.70550204512469,67.81897347935083
Sporting CP,Ajax,1,5,1 - 5,UEFA Champions League (Group stage),2021-09-15,UEFA Champions League,2021-2022,46.89272991159783,68.74257817654043,57.81765404406913
Manchester City,RB Leipzig,6,3,6 - 3,UEFA Champions League (Group stage),2021-09-15,UEFA Champions League,2021-2022,59.93534767119672,47.176408497163216,53.555878084179966
Internazionale,Real Madrid,0,1,0 - 1,UEFA Champions League (Group stage),2021-09-15,UEFA Champions League,2021-2022,65.1207283282755,57.09196463913445,61.10634648370498
Club Brugge,Paris Saint-Germain,1,1,1 - 1,UEFA Champions League (Group stage),2021-09-15,UEFA Champions League,2021-2022,66.96793772265471,60.383955666974536,63.67594669481463
