League,Match_Date,Matchweek,Team,Home_Away,Home_Team,Away_Team,Home_Score,Away_Score,Home_Formation,Away_Formation,season,Formation,npxG_Expected,SoT,xAG_Expected,SCA_SCA,GCA_SCA,PrgP_Passes,PrgC_Carries,Succ_Take_Ons,Tkl,Int,Blocks,team_Shots_MQS,team_DA_MQS,team_Poss_MQS,team_Def_MQS,team_MQS
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Lazio,Home,Lazio,Dortmund,3,1,3-5-2,3-4-3,2020-2021,3-5-2,72.13352685050798,54.862119013062404,75.76197387518143,51.30624092888244,81.27721335268505,25.326560232220608,43.83164005805516,20.246734397677795,15.239477503628446,97.24238026124819,55.29753265602322,63.497822931785194,69.44847605224965,34.579100145137886,47.00653120464441,53.86594537537934
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Dortmund,Away,Lazio,Dortmund,3,1,3-5-2,3-4-3,2020-2021,3-4-3,56.313497822931794,87.4455732946299,66.54571843251088,68.94049346879537,60.087082728592165,95.21044992743106,49.709724238026126,87.59071117561683,7.184325108853411,30.478955007256893,19.085631349782293,71.87953555878084,65.19109820996614,72.46008708272859,36.08490566037736,57.14474205040243
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Paris Saint-Germain,Home,Paris Saint-Germain,Manchester United,1,2,4-3-3,3-4-1-2,2020-2021,4-3-3,61.82873730043541,68.86792452830188,66.54571843251088,65.38461538461539,28.88243831640058,69.59361393323658,56.16835994194484,87.59071117561683,78.73730043541364,69.23076923076923,28.156748911465897,65.34833091436865,53.60425737784228,62.88098693759071,65.9288824383164,61.90790341733738
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Manchester United,Away,Paris Saint-Germain,Manchester United,1,2,4-3-3,3-4-1-2,2020-2021,3-4-1-2,20.174165457184326,68.86792452830188,24.74600870827286,59.43396226415094,81.27721335268505,47.09724238026125,78.95500725689405,56.966618287373,92.380261248185775,41.07402031930334,79.75326560232222,44.52104499274311,55.152394775036285,63.02612481857765,67.54354136429609,59.156880854994064
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Rennes,Home,Rennes,Krasnodar,1,1,4-3-3,4-4-1-1,2020-2021,4-3-3,77.06821480406386,79.10014513788099,80.62409288824384,94.33962264150944,60.087082728592165,69.59361393323658,69.08563134978229,87.59071117561683,29.245283018867923,30.478955007256893,35.92162554426706,78.08417997097243,78.35026608611514,69.33962264150944,45.809143686502175,64.83045256630163
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Krasnodar,Away,Rennes,Krasnodar,1,1,4-3-3,4-4-1-1,2020-2021,4-4-1-1,61.82873730043541,41.146589259796805,70.89985486211901,38.243831640058055,60.087082728592165,49.34687953555878,4.2089985486211905,20.246734397677795,10.522496371552975,50.79825834542816,7.329462989840348,51.48766328011611,56.41025641025641,26.777939042089983,22.22423802612482,37.69626599815279
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Red Bull Salzburg,Home,Red Bull Salzburg,Lokomotiv Moscow,2,2,4-4-2,4-4-2,2020-2021,4-4-2,46.00870827285922,87.4455732946299,50.29027576197388,65.38461538461539,67.12626995645864,92.380261248185775,78.95500725689405,87.59071117561683,78.73730043541364,96.22641509433963,91.8722786647315,66.72714078374456,60.93372036768264,85.66763425253991,88.6066763425254,76.54703786779258
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Lokomotiv Moscow,Away,Red Bull Salzburg,Lokomotiv Moscow,2,2,4-4-2,4-4-2,2020-2021,4-4-2,30.696661828737298,41.146589259796805,44.55732946298984,10.740203193033382,81.27721335268505,47.09724238026125,33.236574746008706,87.59071117561683,66.98113207547169,99.7822931785196,64.51378809869375,35.92162554426705,45.52491533623609,40.16690856313498,79.71698113207546,55.23815806834675
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Real Madrid,Home,Real Madrid,Shakhtar Donetsk,2,3,4-3-3,4-1-4-1,2020-2021,4-3-3,40.711175616835995,68.86792452830188,30.76923076923077,51.30624092888244,67.12626995645864,89.62264150943396,90.78374455732946,87.59071117561683,99.2743105950653,69.23076923076923,7.329462989840348,54.78955007256894,49.73391388485729,90.20319303338171,65.85631349782292,63.87386198706953
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Shakhtar Donetsk,Away,Real Madrid,Shakhtar Donetsk,2,3,4-3-3,4-1-4-1,2020-2021,4-1-4-1,72.13352685050798,68.86792452830188,83.38171262699564,16.618287373004353,81.27721335268505,5.370101596516691,65.74746008708273,87.59071117561683,29.245283018867923,87.30043541364296,44.412191582002905,70.50072568940493,60.425737784228346,35.55878084179971,62.13715529753266,58.358622509565905
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Manchester City,Home,Manchester City,Porto,3,1,4-3-3,5-4-1,2020-2021,4-3-3,24.891146589259797,68.86792452830188,24.74600870827286,28.519593613933235,93.03338171262699,67.48911465892597,38.38896952104499,72.42380261248186,66.98113207547169,30.478955007256893,7.329462989840348,46.879535558780844,48.76632801161103,52.93904208998548,44.303338171262695,47.55904472885605
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Porto,Away,Manchester City,Porto,3,1,4-3-3,5-4-1,2020-2021,5-4-1,4.571843251088534,25.907111756168362,8.055152394775037,6.386066763425253,60.087082728592165,7.474600870827286,6.313497822931785,29.172714078374458,21.988388969521043,69.23076923076923,28.156748911465897,15.239477503628448,24.842767295597486,6.894049346879536,37.13715529753266,24.30399788890355
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Internazionale,Home,Internazionale,Mönchengladbach,2,2,3-4-1-2,4-2-3-1,2020-2021,3-4-1-2,97.8955007256894,54.862119013062404,93.6865021770682,79.02757619738752,60.087082728592165,87.37300435413643,56.16835994194484,78.51959361393324,51.37880986937591,99.20174165457183,55.29753265602322,76.3788098693759,77.6003870343493,71.77068214804063,71.09941944847606,73.95434753925319
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Mönchengladbach,Away,Internazionale,Mönchengladbach,2,2,3-4-1-2,4-2-3-1,2020-2021,4-2-3-1,24.891146589259797,12.69956458635704,30.76923076923077,10.740203193033382,81.27721335268505,17.48911465892598,65.74746008708273,83.09143686502178,83.01886792452831,95.28301886792453,98.91146589259797,18.79535558780842,40.9288824383164,41.61828737300436,90.07619738751815,54.9017020715134
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Bayern Munich,Home,Bayern Munich,Atlético Madrid,4,0,4-2-3-1,4-4-2,2020-2021,4-2-3-1,91.65457184325109,68.86792452830188,95.06531204644412,71.55297532656023,95.50072568940493,69.59361393323658,83.81712626995646,39.477503628447025,44.339622641509436,69.23076923076923,44.412191582002905,80.26124818577648,87.37300435413643,76.70537010159651,49.36502177068215,70.31930333817127
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Atlético Madrid,Away,Bayern Munich,Atlético Madrid,4,0,4-2-3-1,4-4-2,2020-2021,4-4-2,11.683599419448477,12.69956458635704,19.3033381712627,12.772133526850507,28.88243831640058,55.8055152394775,69.08563134978229,83.09143686502178,44.339622641509436,41.07402031930334,85.05079825834542,12.19158200290276,20.319303338171263,62.445573294629895,63.38896952104499,42.16255442670537
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Ajax,Home,Ajax,Liverpool,0,1,4-3-3,4-3-3,2020-2021,4-3-3,61.82873730043541,54.862119013062404,70.89985486211901,55.22496371552975,28.88243831640058,49.34687953555878,43.83164005805516,56.966618287373,36.79245283018868,97.24238026124819,94.48476052249637,58.34542815674891,51.66908563134978,46.58925979680697,71.37155297532657,59.123894972951575
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Liverpool,Away,Ajax,Liverpool,0,1,4-3-3,4-3-3,2020-2021,4-3-3,46.00870827285922,79.10014513788099,50.29027576197388,55.22496371552975,28.88243831640058,72.93178519593614,95.355587808418,48.76632801161103,44.339622641509436,97.24238026124819,55.29753265602322,62.554426705370105,44.79922593130141,84.14368650217708,61.41146589259797,61.221797070853675
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Midtjylland,Home,Midtjylland,Atalanta,0,4,4-2-3-1,3-4-1-2,2020-2021,4-2-3-1,30.696661828737298,41.146589259796805,37.953555878084174,28.519593613933235,28.88243831640058,53.77358490566038,28.156748911465897,83.09143686502178,44.339622641509436,81.56748911465893,73.43976777939042,35.92162554426705,31.78519593613933,40.965166908563134,70.60957910014514,48.32431719224172
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Atalanta,Away,Midtjylland,Atalanta,0,4,4-2-3-1,3-4-1-2,2020-2021,3-4-1-2,89.69521044992743,97.96806966618288,85.92162554426706,74.31059506531204,95.50072568940493,62.62699564586357,61.46589259796807,13.062409288824384,59.50653120464441,69.23076923076923,44.412191582002905,93.83164005805516,85.24431543299468,62.046444121915826,46.55297532656023,68.51827417865154
UEFA Champions League,2020-10-21,UEFA Champions League (Group stage),Olympiacos,Home,Olympiacos,Marseille,1,0,4-4-2,4-1-4-1,2020-2021,4-4-2,40.711175616835995,41.146589259796805,50.29027576197388,38.243831640058055,35.99419448476052,76.12481857764877,49.709724238026126,20.246734397677795,29.245283018867923,93.6865021770682,28.156748911465897,40.9288824383164,41.509433962264154,62.91727140783745,42.833817126269956,45.777807098561816
