"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Team","Home_Away","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Young Boys","5-3-2",1,0.5,"Meschak Elia · 33&rsquor;","3","0","RB Leipzig","4-4-2",3,2.6,"Mohamed Simakan · 3&rsquor; Xaver Schlager · 73&rsquor; Benjamin Šeško · 90+2&rsquor;","4","0","Young Boys","Home",990,1,1,0,0,8,3,3,0,650,7,14,20,0.5,0.5,0.4,14,2,436,545,80,32,343,13,27,11
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Young Boys","5-3-2",1,0.5,"Meschak Elia · 33&rsquor;","3","0","RB Leipzig","4-4-2",3,2.6,"Mohamed Simakan · 3&rsquor; Xaver Schlager · 73&rsquor; Benjamin Šeško · 90+2&rsquor;","4","0","RB Leipzig","Away",990,3,3,0,0,21,8,4,0,563,22,6,10,2.7,2.7,2.3,36,6,343,448,76.6,26,331,24,16,11
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Milan","4-3-3",0,1.9,"","4","0","Newcastle United","4-3-3",0,0.3,"","1","0","Milan","Home",990,0,0,0,0,25,8,4,0,562,14,5,6,2,2,1.5,46,0,379,466,81.3,35,383,30,20,11
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Milan","4-3-3",0,1.9,"","4","0","Newcastle United","4-3-3",0,0.3,"","1","0","Newcastle United","Away",990,0,0,0,0,6,1,1,0,528,17,2,14,0.3,0.3,0.3,11,0,336,406,82.8,36,292,16,15,2
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Manchester City","4-2-3-1",3,4.1,"Julián Álvarez · 47&rsquor; Julián Álvarez · 60&rsquor; Rodri · 73&rsquor;","2","0","Red Star","5-3-2",1,0.8,"Osman Bukari · 45&rsquor;","2","0","Manchester City","Home",990,3,2,0,0,37,16,2,0,882,14,3,6,4.2,4.2,3.3,68,6,709,782,90.7,90,577,47,28,15
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Manchester City","4-2-3-1",3,4.1,"Julián Álvarez · 47&rsquor; Julián Álvarez · 60&rsquor; Rodri · 73&rsquor;","2","0","Red Star","5-3-2",1,0.8,"Osman Bukari · 45&rsquor;","2","0","Red Star","Away",990,1,1,0,0,3,2,2,0,377,17,7,14,0.8,0.8,0.8,6,2,187,252,74.2,17,173,12,18,5
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Barcelona","4-3-3",5,2.8,"João Félix · 11&rsquor; Robert Lewandowski · 19&rsquor; Jelle Bataille (OG) · 22&rsquor; Gavi · 54&rsquor; João Félix · 66&rsquor;","1","0","Antwerp","4-2-3-1",0,0.3,"","0","0","Barcelona","Home",990,4,4,0,0,22,9,1,0,910,10,4,4,2.9,2.9,2.4,37,7,765,838,91.3,74,645,30,24,13
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Barcelona","4-3-3",5,2.8,"João Félix · 11&rsquor; Robert Lewandowski · 19&rsquor; Jelle Bataille (OG) · 22&rsquor; Gavi · 54&rsquor; João Félix · 66&rsquor;","1","0","Antwerp","4-2-3-1",0,0.3,"","0","0","Antwerp","Away",990,0,0,0,0,3,1,0,0,458,12,5,10,0.3,0.3,0.3,6,0,310,366,84.7,18,300,9,11,5
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Paris Saint-Germain","4-3-3",2,2.4,"Kylian Mbappé (P) · 49&rsquor; Achraf Hakimi · 58&rsquor;","0","0","Dortmund","3-5-2",0,0.7,"","3","0","Paris Saint-Germain","Home",990,2,1,1,1,16,2,0,0,859,21,10,13,2.4,1.7,1.5,30,3,644,734,87.7,55,685,30,25,14
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Paris Saint-Germain","4-3-3",2,2.4,"Kylian Mbappé (P) · 49&rsquor; Achraf Hakimi · 58&rsquor;","0","0","Dortmund","3-5-2",0,0.7,"","3","0","Dortmund","Away",990,0,0,0,0,14,1,3,0,501,17,10,17,0.7,0.7,0.6,24,0,273,359,76,24,307,12,32,14
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Lazio","4-3-3",1,1.2,"Ivan Provedel · 90+5&rsquor;","2","0","Atlético Madrid","5-3-2",1,0.9,"Pablo Barrios · 29&rsquor;","3","0","Lazio","Home",990,1,1,0,0,19,7,2,0,727,12,6,12,1.2,1.2,1.1,34,2,542,624,86.9,61,452,21,20,9
"UEFA Champions League","2023-09-19","UEFA Champions League (Group stage)","Lazio","4-3-3",1,1.2,"Ivan Provedel · 90+5&rsquor;","2","0","Atlético Madrid","5-3-2",1,0.9,"Pablo Barrios · 29&rsquor;","3","0","Atlético Madrid","Away",990,1,1,0,0,9,4,3,0,755,12,9,14,0.9,0.9,0.8,18,2,564,653,86.4,35,457,17,13,7
