"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Team","Home_Away","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Dinamo Zagreb","3-1-4-2",1,0.6,"Mislav Oršić · 13&rsquor;","1","0","Chelsea","3-4-3",0,0.9,"","3","0","Dinamo Zagreb","Home",990,1,1,0,0,6,3,1,0,473,19,10,20,0.6,0.6,0.6,12,2,255,340,75,22,260,14,24,10
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Dinamo Zagreb","3-1-4-2",1,0.6,"Mislav Oršić · 13&rsquor;","1","0","Chelsea","3-4-3",0,0.9,"","3","0","Chelsea","Away",990,0,0,0,0,15,3,3,0,815,30,5,13,0.9,0.9,0.8,28,0,584,703,83.1,78,523,39,25,12
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Dortmund","4-2-3-1",3,2.3,"Marco Reus · 35&rsquor; Raphaël Guerreiro · 42&rsquor; Jude Bellingham · 83&rsquor;","0","0","FC Copenhagen","4-3-3",0,0.5,"","2","0","Dortmund","Home",990,3,3,0,0,15,4,0,0,802,15,13,9,2.3,2.3,2.2,26,6,611,708,86.3,68,544,36,16,7
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Dortmund","4-2-3-1",3,2.3,"Marco Reus · 35&rsquor; Raphaël Guerreiro · 42&rsquor; Jude Bellingham · 83&rsquor;","0","0","FC Copenhagen","4-3-3",0,0.5,"","2","0","FC Copenhagen","Away",990,0,0,0,0,7,2,2,0,545,17,23,15,0.5,0.5,0.2,12,0,337,422,79.9,16,223,6,17,6
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Benfica","4-2-3-1",2,0.9,"Rafa Silva · 50&rsquor; Álex Grimaldo · 54&rsquor;","1","0","Maccabi Haifa","5-3-2",0,0.1,"","2","0","Benfica","Home",990,2,1,0,0,14,5,1,0,676,15,14,8,0.9,0.9,0.8,27,4,467,564,82.8,49,464,21,23,10
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Benfica","4-2-3-1",2,0.9,"Rafa Silva · 50&rsquor; Álex Grimaldo · 54&rsquor;","1","0","Maccabi Haifa","5-3-2",0,0.1,"","2","0","Maccabi Haifa","Away",990,0,0,0,0,7,2,2,0,567,22,12,14,0.1,0.1,0.1,12,0,350,448,78.1,28,357,15,17,6
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Celtic","4-2-3-1",0,1.4,"","1","0","Real Madrid","4-3-3",3,1.9,"Vinicius Júnior · 56&rsquor; Luka Modrić · 60&rsquor; Eden Hazard · 77&rsquor;","1","0","Celtic","Home",990,0,0,0,0,10,4,1,0,575,15,9,7,1.4,1.4,1.4,19,0,418,496,84.3,47,447,22,5,2
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Celtic","4-2-3-1",0,1.4,"","1","0","Real Madrid","4-3-3",3,1.9,"Vinicius Júnior · 56&rsquor; Luka Modrić · 60&rsquor; Eden Hazard · 77&rsquor;","1","0","Real Madrid","Away",990,3,3,0,0,12,6,1,0,979,10,9,10,1.9,1.9,1.7,23,6,812,881,92.2,44,846,30,24,9
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Paris Saint-Germain","3-4-3",2,1.7,"Kylian Mbappé · 5&rsquor; Kylian Mbappé · 22&rsquor;","2","0","Juventus","3-5-2",1,1,"Weston McKennie · 53&rsquor;","3","0","Paris Saint-Germain","Home",990,2,2,0,0,15,6,2,0,760,12,11,6,1.8,1.8,1.3,27,4,623,678,91.9,31,651,26,19,6
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Paris Saint-Germain","3-4-3",2,1.7,"Kylian Mbappé · 5&rsquor; Kylian Mbappé · 22&rsquor;","2","0","Juventus","3-5-2",1,1,"Weston McKennie · 53&rsquor;","3","0","Juventus","Away",990,1,1,0,0,13,4,3,0,592,13,8,10,1,1,0.6,21,2,447,504,88.7,30,475,18,13,7
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","RB Leipzig","4-2-3-1",1,1.4,"Mohamed Simakan · 57&rsquor;","1","0","Shakhtar Donetsk","4-1-4-1",4,0.9,"Maryan Shved · 16&rsquor; Maryan Shved · 58&rsquor; Mykhailo Mudryk · 76&rsquor; Lassina Franck Traoré · 85&rsquor;","5","0","RB Leipzig","Home",990,1,1,0,0,13,2,1,0,780,17,4,5,1.4,1.4,1.2,23,2,592,695,85.2,78,534,21,17,8
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","RB Leipzig","4-2-3-1",1,1.4,"Mohamed Simakan · 57&rsquor;","1","0","Shakhtar Donetsk","4-1-4-1",4,0.9,"Maryan Shved · 16&rsquor; Maryan Shved · 58&rsquor; Mykhailo Mudryk · 76&rsquor; Lassina Franck Traoré · 85&rsquor;","5","0","Shakhtar Donetsk","Away",990,4,3,0,0,5,4,5,0,453,14,9,13,0.9,0.9,0.8,8,6,259,324,79.9,9,249,9,20,9
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Sevilla","4-2-3-1",0,0.3,"","1","0","Manchester City","4-3-3",4,3.6,"Erling Haaland · 20&rsquor; Phil Foden · 58&rsquor; Erling Haaland · 67&rsquor; Rúben Dias · 90+2&rsquor;","0","0","Sevilla","Home",990,0,0,0,0,6,1,1,0,500,13,10,13,0.3,0.3,0.3,12,0,320,412,77.7,27,310,8,7,3
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Sevilla","4-2-3-1",0,0.3,"","1","0","Manchester City","4-3-3",4,3.6,"Erling Haaland · 20&rsquor; Phil Foden · 58&rsquor; Erling Haaland · 67&rsquor; Rúben Dias · 90+2&rsquor;","0","0","Manchester City","Away",990,4,4,0,0,24,9,0,0,735,12,9,7,3.9,3.9,3.5,46,7,568,645,88.1,51,405,36,18,10
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Red Bull Salzburg","4-3-1-2",1,1.3,"Noah Okafor · 28&rsquor;","2","0","Milan","4-2-3-1",1,0.9,"Alexis Saelemaekers · 40&rsquor;","4","0","Red Bull Salzburg","Home",990,1,1,0,0,16,4,2,0,447,29,7,24,1.3,1.3,1,21,2,202,291,69.4,30,166,14,18,5
"UEFA Champions League","2022-09-06","UEFA Champions League (Group stage)","Red Bull Salzburg","4-3-1-2",1,1.3,"Noah Okafor · 28&rsquor;","2","0","Milan","4-2-3-1",1,0.9,"Alexis Saelemaekers · 40&rsquor;","4","0","Milan","Away",990,1,1,0,0,14,3,4,0,650,20,2,12,0.9,0.9,0.8,26,2,433,544,79.6,45,327,23,28,13
"UEFA Champions League","2022-09-07","UEFA Champions League (Group stage)","Ajax","4-3-3",4,2.1,"Edson Álvarez · 17&rsquor; Steven Berghuis · 32&rsquor; Mohammed Kudus · 33&rsquor; Steven Bergwijn · 80&rsquor;","0","0","Rangers","4-2-3-1",0,0.1,"","1","0","Ajax","Home",990,4,2,0,0,17,9,0,0,933,14,9,7,2.1,2.1,1.6,29,7,766,845,90.7,71,554,18,24,15
"UEFA Champions League","2022-09-07","UEFA Champions League (Group stage)","Ajax","4-3-3",4,2.1,"Edson Álvarez · 17&rsquor; Steven Berghuis · 32&rsquor; Mohammed Kudus · 33&rsquor; Steven Bergwijn · 80&rsquor;","0","0","Rangers","4-2-3-1",0,0.1,"","1","0","Rangers","Away",990,0,0,0,0,4,1,1,0,378,12,14,8,0.1,0.1,0.1,5,0,220,292,75.3,7,216,6,10,5
"UEFA Champions League","2022-09-07","UEFA Champions League (Group stage)","Eintracht Frankfurt","4-2-3-1",0,0.8,"","2","0","Sporting CP","3-4-3",3,0.9,"Marcus Edwards · 65&rsquor; Francisco Trincão · 67&rsquor; Nuno Santos · 82&rsquor;","1","0","Eintracht Frankfurt","Home",990,0,0,0,0,11,2,2,0,592,24,16,14,0.8,0.8,0.2,14,0,377,482,78.2,39,314,23,13,4
"UEFA Champions League","2022-09-07","UEFA Champions League (Group stage)","Eintracht Frankfurt","4-2-3-1",0,0.8,"","2","0","Sporting CP","3-4-3",3,0.9,"Marcus Edwards · 65&rsquor; Francisco Trincão · 67&rsquor; Nuno Santos · 82&rsquor;","1","0","Sporting CP","Away",990,3,3,0,0,8,5,1,0,700,25,11,8,0.9,0.9,0.8,15,6,491,594,82.7,31,405,16,18,8
